,State,Agency_Type,Agency_Name,Population1,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,LarcenyTheft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coinoperated_Machine,Theft_From_Motor_Vehicle,Theft_of_Motor_Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses_,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Weapon_Law_Violations
0,ALABAMA,Cities,Hoover,82332.0,4304.0,899.0,2880.0,525.0,870,25.0,594.0,251.0,2.0,2.0,,,2.0,25.0,13.0,3.0,,9.0,,,,1.0,,391.0,55.0,280.0,70.0,,202.0,38.0,109.0,55.0,,,1718.0,10.0,2.0,550.0,410.0,4.0,418.0,127.0,197.0,88.0,46.0,29.0,495.0,339.0,156.0,,,,,,4.0,,,,26.0
1,ARIZONA,Cities,Apache Junction,36986.0,2693.0,611.0,1748.0,334.0,559,96.0,381.0,82.0,1.0,1.0,,,14.0,35.0,13.0,,,22.0,2.0,,2.0,1.0,,237.0,58.0,447.0,,1.0,162.0,52.0,62.0,48.0,,,725.0,,,193.0,12.0,1.0,52.0,52.0,415.0,68.0,21.0,28.0,308.0,152.0,156.0,,,,,,1.0,,,,25.0
2,ARIZONA,Cities,Gilbert,214264.0,10166.0,1396.0,6610.0,2160.0,1242,123.0,892.0,227.0,5.0,5.0,,,54.0,79.0,19.0,2.0,,58.0,16.0,,16.0,25.0,2.0,728.0,163.0,2303.0,20.0,4.0,486.0,130.0,150.0,206.0,,,2549.0,1.0,9.0,632.0,96.0,3.0,720.0,35.0,1053.0,171.0,59.0,100.0,2069.0,979.0,1090.0,,,,,,16.0,,,,75.0
3,ARIZONA,Metropolitan Counties,Yuma2,,3035.0,661.0,1890.0,484.0,555,94.0,376.0,85.0,26.0,26.0,,,17.0,39.0,8.0,,2.0,29.0,24.0,,24.0,10.0,3.0,363.0,26.0,542.0,,1.0,192.0,83.0,48.0,61.0,,,644.0,2.0,,34.0,,,8.0,4.0,596.0,75.0,10.0,24.0,437.0,208.0,229.0,,,,,,5.0,2.0,1.0,1.0,40.0
4,ARKANSAS,Cities,Alma,5439.0,780.0,202.0,507.0,71.0,197,11.0,108.0,78.0,,,,,1.0,4.0,3.0,,,1.0,,,,1.0,,99.0,15.0,97.0,,,13.0,1.0,10.0,2.0,,,265.0,,2.0,59.0,39.0,,39.0,,126.0,7.0,1.0,9.0,66.0,44.0,22.0,,,,,,1.0,,,,4.0
5,ARKANSAS,Cities,Arkadelphia,10698.0,951.0,290.0,609.0,52.0,274,35.0,178.0,61.0,5.0,5.0,,,4.0,7.0,5.0,2.0,,,,,,1.0,,106.0,19.0,97.0,,,34.0,16.0,15.0,3.0,,,340.0,,1.0,68.0,50.0,,34.0,3.0,184.0,7.0,3.0,2.0,44.0,37.0,7.0,,,,,,,,,,8.0
6,ARKANSAS,Cities,Ashdown,4680.0,333.0,79.0,220.0,34.0,72,14.0,57.0,1.0,,,,,1.0,5.0,4.0,,,1.0,1.0,,1.0,,,32.0,3.0,52.0,,,2.0,1.0,,1.0,,,126.0,,,28.0,7.0,,5.0,2.0,84.0,4.0,1.0,,32.0,26.0,6.0,,,,,,,,,,2.0
7,ARKANSAS,Cities,Atkins,3057.0,143.0,22.0,118.0,3.0,22,1.0,13.0,8.0,,,,,,,,,,,,,,,,30.0,6.0,14.0,,,3.0,,1.0,2.0,,,59.0,,1.0,4.0,10.0,1.0,4.0,,39.0,4.0,,2.0,3.0,3.0,,,,,,,,,,,
8,ARKANSAS,Cities,Austin,2076.0,121.0,15.0,60.0,46.0,14,2.0,10.0,2.0,,,,,,1.0,1.0,,,,,,,,,20.0,,10.0,,,1.0,,1.0,,,,29.0,,,1.0,2.0,,16.0,,10.0,,,,44.0,25.0,19.0,,,,,,,,,,2.0
9,ARKANSAS,Cities,Bald Knob,2950.0,318.0,72.0,221.0,25.0,71,12.0,29.0,30.0,,,,,,1.0,,,,1.0,,,,,,36.0,15.0,36.0,,,3.0,,3.0,,,,105.0,,1.0,5.0,17.0,3.0,14.0,1.0,64.0,10.0,1.0,15.0,25.0,20.0,5.0,,,,,,,,,,
