,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Human_Trafficking_Offenses,Commercial_Sex_Acts,Involuntary_Servitude,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_an_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism_of_Property,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,Larceny__Theft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coin_Operated_Machine_or_Device,Theft_From_Motor_Vehicle,Theft_of__Motor__Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Purchasing_Prostitution,Weapon_Law_Violations
0,ALABAMA,Cities,Hoover,84843.0,4018.0,742.0,2889.0,387.0,713,32.0,502.0,179.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,270.0,50.0,224.0,55.0,0.0,213.0,35.0,114.0,64.0,0.0,0.0,1912.0,5.0,2.0,798.0,331.0,2.0,424.0,115.0,235.0,79.0,50.0,35.0,357.0,255.0,102.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,26.0
1,ARIZONA,Cities,Apache Junction,37274.0,3061.0,560.0,1936.0,565.0,493,64.0,355.0,74.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,6.0,0.0,2.0,41.0,5.0,0.0,5.0,16.0,0.0,394.0,41.0,489.0,0.0,2.0,129.0,52.0,24.0,53.0,0.0,0.0,753.0,0.0,0.0,322.0,4.0,1.0,66.0,12.0,348.0,72.0,17.0,23.0,521.0,265.0,256.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,41.0
2,ARIZONA,Cities,Gilbert,235430.0,9895.0,1365.0,6212.0,2318.0,1241,143.0,897.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,79.0,24.0,3.0,0.0,52.0,9.0,0.0,9.0,23.0,0.0,582.0,95.0,1842.0,24.0,3.0,512.0,188.0,140.0,184.0,0.0,0.0,2822.0,2.0,9.0,784.0,95.0,0.0,774.0,81.0,1077.0,137.0,42.0,130.0,2233.0,1020.0,1213.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,5.0,1.0,0.0,67.0
3,ARIZONA,Cities,Yuma,92075.0,9147.0,1453.0,6424.0,1270.0,1316,419.0,747.0,150.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,27.0,97.0,16.0,18.0,4.0,59.0,9.0,1.0,8.0,38.0,0.0,844.0,94.0,1834.0,28.0,0.0,643.0,283.0,162.0,182.0,0.0,16.0,2511.0,22.0,2.0,629.0,94.0,3.0,523.0,140.0,1098.0,321.0,71.0,40.0,1153.0,524.0,629.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,2.0,0.0,102.0
4,ARIZONA,Metropolitan Counties,Yuma,,3564.0,619.0,2479.0,466.0,559,123.0,327.0,109.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,12.0,34.0,13.0,1.0,0.0,20.0,8.0,0.0,8.0,17.0,1.0,514.0,18.0,683.0,1.0,1.0,175.0,82.0,34.0,59.0,0.0,0.0,920.0,0.0,0.0,46.0,0.0,0.0,15.0,3.0,856.0,105.0,12.0,32.0,429.0,193.0,236.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,33.0
5,ARKANSAS,Cities,Alma,5535.0,766.0,274.0,449.0,43.0,265,18.0,119.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,19.0,91.0,0.0,0.0,17.0,0.0,10.0,7.0,0.0,0.0,247.0,0.0,2.0,51.0,31.0,0.0,37.0,2.0,124.0,7.0,2.0,4.0,39.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
6,ARKANSAS,Cities,Altus,742.0,26.0,10.0,15.0,1.0,10,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARKANSAS,Cities,Arkadelphia,10721.0,742.0,207.0,480.0,55.0,196,31.0,103.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,17.0,106.0,0.0,0.0,27.0,8.0,18.0,1.0,0.0,0.0,257.0,0.0,1.0,59.0,23.0,0.0,23.0,2.0,149.0,9.0,0.0,3.0,48.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
8,ARKANSAS,Cities,Ashdown,4552.0,377.0,43.0,289.0,45.0,41,6.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,50.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,189.0,0.0,0.0,57.0,2.0,0.0,3.0,0.0,127.0,10.0,0.0,0.0,41.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
9,ARKANSAS,Cities,Ash Flat,1072.0,45.0,11.0,33.0,1.0,11,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ARKANSAS,Cities,Atkins,3049.0,173.0,33.0,135.0,5.0,31,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,26.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,73.0,0.0,1.0,6.0,7.0,0.0,11.0,0.0,48.0,9.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
11,ARKANSAS,Cities,Austin,2992.0,140.0,21.0,65.0,54.0,21,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,29.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,18.0,2.0,1.0,1.0,52.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,ARKANSAS,Cities,Bald Knob,2906.0,250.0,60.0,168.0,22.0,58,7.0,22.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,32.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,101.0,0.0,1.0,6.0,11.0,1.0,12.0,1.0,69.0,2.0,1.0,1.0,18.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
13,ARKANSAS,Cities,Barling,4762.0,521.0,125.0,161.0,235.0,120,34.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,46.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,89.0,0.0,0.0,5.0,19.0,0.0,12.0,4.0,49.0,4.0,0.0,5.0,216.0,109.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
14,ARKANSAS,Cities,Bay,1811.0,56.0,4.0,42.0,10.0,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,2.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,ARKANSAS,Cities,Bearden,910.0,22.0,4.0,18.0,0.0,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ARKANSAS,Cities,Beebe,8045.0,801.0,143.0,522.0,136.0,135,22.0,91.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,17.0,70.0,1.0,0.0,28.0,3.0,20.0,5.0,0.0,0.0,331.0,0.0,0.0,32.0,57.0,0.0,35.0,4.0,203.0,15.0,1.0,9.0,130.0,72.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
17,ARKANSAS,Cities,Bella Vista,27913.0,520.0,119.0,290.0,111.0,101,27.0,46.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,7.0,59.0,0.0,0.0,27.0,10.0,16.0,0.0,1.0,0.0,156.0,0.0,1.0,5.0,38.0,0.0,31.0,3.0,78.0,4.0,0.0,5.0,100.0,59.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
